Income,Age,Total_Spend,Recency,Frequency,Customer_Segment,CLV_Tier,Predicted_CLV
58138.0,69,1617,663,22,Champions,Mid CLV,1489.4629
46344.0,72,27,113,4,At-Risk,Low CLV,42.59494
71613.0,61,776,312,20,Lost,Low CLV,766.14185
26646.0,42,53,139,6,At-Risk,Low CLV,69.03649
58293.0,45,422,161,14,At-Risk,Low CLV,529.55835
62513.0,59,716,293,20,Lost,Mid CLV,804.8289
55635.0,55,590,593,17,Champions,Low CLV,645.8842
33454.0,41,169,417,8,Loyal,Low CLV,169.3721
30351.0,52,46,388,5,Loyal,Low CLV,54.795044
5648.0,76,49,108,1,At-Risk,Low CLV,41.15049
51381.5,43,19,226,3,At-Risk,Low CLV,30.5402
7500.0,50,61,593,5,Loyal,Low CLV,72.53259
63033.0,67,1102,226,15,Lost,Mid CLV,869.21765
59354.0,74,310,226,12,At-Risk,Low CLV,326.78467
17323.0,39,46,627,4,Loyal,Low CLV,33.966267
82800.0,80,1315,582,25,Champions,Mid CLV,1392.1481
41850.0,46,96,552,6,Loyal,Low CLV,79.68347
37760.0,80,317,667,11,Loyal,Low CLV,314.8558
76995.0,77,1782,458,24,Champions,High CLV,1623.419
33812.0,41,133,603,6,Loyal,Low CLV,100.92324
37040.0,44,316,690,11,Loyal,Low CLV,321.88477
2447.0,47,1730,539,28,Champions,High CLV,1625.1559
58607.0,77,972,553,14,Champions,Mid CLV,894.62463
65324.0,72,544,169,17,Lost,Low CLV,557.18695
40689.0,75,444,468,13,Loyal,Low CLV,407.19583
18589.0,57,75,543,6,Loyal,Low CLV,81.541565
53359.0,50,257,398,10,Loyal,Low CLV,247.74367
51381.5,40,637,494,27,Champions,Low CLV,654.7668
38360.0,37,131,394,7,Loyal,Low CLV,123.83719
84618.0,61,1672,219,25,Lost,High CLV,1643.8853
10979.0,37,30,38,6,At-Risk,Low CLV,54.15488
38620.0,63,318,414,10,Loyal,Low CLV,345.118
40548.0,56,120,627,7,Loyal,Low CLV,168.61682
46610.0,74,302,608,11,Loyal,Low CLV,302.3085
68657.0,80,1196,494,17,Champions,Mid CLV,1226.4272
49389.0,75,65,304,5,At-Risk,Low CLV,53.11112
